participant_id,session_id,xdf_file,stream_name,stream_type,channel_index,channel_label,channel_unit,nominal_sampling_rate,official_code_selected,official_code_assigned_label,metadata_consistent,notes
P018,S001,sub-P018_ses-S001_task-Default_run-001_eeg.xdf,Shimmer_BE1D,Sensor_Data,2,Accel_LN_Z,,512.0,True,ECG_Lead_III,False,MISMATCH: assigned label does not match true descriptor label at this index
P018,S001,sub-P018_ses-S001_task-Default_run-001_eeg.xdf,Shimmer_BE1D,Sensor_Data,3,ECG_EMG_Status1,,512.0,True,ECG_Chest,False,MISMATCH: assigned label does not match true descriptor label at this index
P018,S001,sub-P018_ses-S001_task-Default_run-001_eeg.xdf,Shimmer_BE1D,Sensor_Data,4,ECG_EMG_Status2,,512.0,False,,,
P018,S001,sub-P018_ses-S001_task-Default_run-001_eeg.xdf,Shimmer_BE1D,Sensor_Data,5,ECG_LL-RA_24BIT,,512.0,False,,,
P018,S001,sub-P018_ses-S001_task-Default_run-001_eeg.xdf,Shimmer_BE1D,Sensor_Data,6,ECG_LA-RA_24BIT,,512.0,False,,,
P018,S001,sub-P018_ses-S001_task-Default_run-001_eeg.xdf,Shimmer_BE1D,Sensor_Data,7,ECG_LL-LA_24BIT,,512.0,False,,,
P018,S001,sub-P018_ses-S001_task-Default_run-001_eeg.xdf,Shimmer_BE1D,Sensor_Data,8,ECG_Vx-RL_24BIT,,512.0,False,,,
P018,S001,sub-P018_ses-S001_task-Default_run-001_eeg.xdf,Shimmer_BBBD,Sensor_Data,0,Battery,,512.0,True,EMG_Zygomaticus,False,MISMATCH: assigned label does not match true descriptor label at this index
P018,S001,sub-P018_ses-S001_task-Default_run-001_eeg.xdf,Shimmer_BBBD,Sensor_Data,1,ECG_EMG_Status1,,512.0,True,EMG_Trapezius,False,MISMATCH: assigned label does not match true descriptor label at this index
P018,S001,sub-P018_ses-S001_task-Default_run-001_eeg.xdf,Shimmer_BBBD,Sensor_Data,2,EMG_CH1_24BIT,,512.0,False,,,
P018,S001,sub-P018_ses-S001_task-Default_run-001_eeg.xdf,Shimmer_BBBD,Sensor_Data,3,EMG_CH2_24BIT,,512.0,False,,,
P019,S001,sub-P019_ses-S001_task-Default_run-001_eeg.xdf,Shimmer_894F,Sensor_Data,0,Accel_LN_X,,9.99938968568813,True,GSR_Conductance,False,MISMATCH: assigned label does not match true descriptor label at this index
P019,S001,sub-P019_ses-S001_task-Default_run-001_eeg.xdf,Shimmer_894F,Sensor_Data,1,Accel_LN_Y,,9.99938968568813,False,,,
P019,S001,sub-P019_ses-S001_task-Default_run-001_eeg.xdf,Shimmer_894F,Sensor_Data,2,Accel_LN_Z,,9.99938968568813,False,,,
P019,S001,sub-P019_ses-S001_task-Default_run-001_eeg.xdf,Shimmer_894F,Sensor_Data,3,GSR_Skin_Resistance,,9.99938968568813,False,,,
P019,S001,sub-P019_ses-S001_task-Default_run-001_eeg.xdf,Shimmer_894F,Sensor_Data,4,GSR_Skin_Conductance,,9.99938968568813,False,,,
P019,S001,sub-P019_ses-S001_task-Default_run-001_eeg.xdf,Shimmer_894F,Sensor_Data,5,GSR_Range,,9.99938968568813,False,,,
P019,S001,sub-P019_ses-S001_task-Default_run-001_eeg.xdf,Shimmer_894F,Sensor_Data,6,PPG_A13,,9.99938968568813,False,,,
P019,S001,sub-P019_ses-S001_task-Default_run-001_eeg.xdf,DSI_FLEX,EEG,0,F3,microvolts,300.0,True,FP1,True,
P019,S001,sub-P019_ses-S001_task-Default_run-001_eeg.xdf,DSI_FLEX,EEG,1,S2,microvolts,300.0,True,FP2,True,
P019,S001,sub-P019_ses-S001_task-Default_run-001_eeg.xdf,DSI_FLEX,EEG,2,S3,microvolts,300.0,True,C3,True,
P019,S001,sub-P019_ses-S001_task-Default_run-001_eeg.xdf,DSI_FLEX,EEG,3,S4,microvolts,300.0,True,C4,True,
P019,S001,sub-P019_ses-S001_task-Default_run-001_eeg.xdf,DSI_FLEX,EEG,4,S5,microvolts,300.0,True,LE,True,
P019,S001,sub-P019_ses-S001_task-Default_run-001_eeg.xdf,DSI_FLEX,EEG,5,S6,microvolts,300.0,True,EOG1,True,
P019,S001,sub-P019_ses-S001_task-Default_run-001_eeg.xdf,DSI_FLEX,EEG,6,S7,microvolts,300.0,True,EOG2,True,
P019,S001,sub-P019_ses-S001_task-Default_run-001_eeg.xdf,DSI_FLEX,EEG,7,TRG,microvolts,300.0,False,,,
P019,S001,sub-P019_ses-S001_task-Default_run-001_eeg.xdf,Shimmer_BBBD,Sensor_Data,0,Battery,,512.0,True,EMG_Zygomaticus,False,MISMATCH: assigned label does not match true descriptor label at this index
P019,S001,sub-P019_ses-S001_task-Default_run-001_eeg.xdf,Shimmer_BBBD,Sensor_Data,1,ECG_EMG_Status1,,512.0,True,EMG_Trapezius,False,MISMATCH: assigned label does not match true descriptor label at this index
P019,S001,sub-P019_ses-S001_task-Default_run-001_eeg.xdf,Shimmer_BBBD,Sensor_Data,2,EMG_CH1_24BIT,,512.0,False,,,
P019,S001,sub-P019_ses-S001_task-Default_run-001_eeg.xdf,Shimmer_BBBD,Sensor_Data,3,EMG_CH2_24BIT,,512.0,False,,,
P019,S001,sub-P019_ses-S001_task-Default_run-001_eeg.xdf,Shimmer_BE1D,Sensor_Data,0,Accel_LN_X,,512.0,True,ECG_Lead_I,False,MISMATCH: assigned label does not match true descriptor label at this index
P019,S001,sub-P019_ses-S001_task-Default_run-001_eeg.xdf,Shimmer_BE1D,Sensor_Data,1,Accel_LN_Y,,512.0,True,ECG_Lead_II,False,MISMATCH: assigned label does not match true descriptor label at this index
P019,S001,sub-P019_ses-S001_task-Default_run-001_eeg.xdf,Shimmer_BE1D,Sensor_Data,2,Accel_LN_Z,,512.0,True,ECG_Lead_III,False,MISMATCH: assigned label does not match true descriptor label at this index
P019,S001,sub-P019_ses-S001_task-Default_run-001_eeg.xdf,Shimmer_BE1D,Sensor_Data,3,ECG_EMG_Status1,,512.0,True,ECG_Chest,False,MISMATCH: assigned label does not match true descriptor label at this index
P019,S001,sub-P019_ses-S001_task-Default_run-001_eeg.xdf,Shimmer_BE1D,Sensor_Data,4,ECG_EMG_Status2,,512.0,False,,,
P019,S001,sub-P019_ses-S001_task-Default_run-001_eeg.xdf,Shimmer_BE1D,Sensor_Data,5,ECG_LL-RA_24BIT,,512.0,False,,,
P019,S001,sub-P019_ses-S001_task-Default_run-001_eeg.xdf,Shimmer_BE1D,Sensor_Data,6,ECG_LA-RA_24BIT,,512.0,False,,,
P019,S001,sub-P019_ses-S001_task-Default_run-001_eeg.xdf,Shimmer_BE1D,Sensor_Data,7,ECG_LL-LA_24BIT,,512.0,False,,,
P019,S001,sub-P019_ses-S001_task-Default_run-001_eeg.xdf,Shimmer_BE1D,Sensor_Data,8,ECG_Vx-RL_24BIT,,512.0,False,,,
P020,S001,sub-P020_ses-S001_task-Default_run-001_eeg.xdf,Shimmer_894F,Sensor_Data,0,Accel_LN_X,,9.99938968568813,True,GSR_Conductance,False,MISMATCH: assigned label does not match true descriptor label at this index
P020,S001,sub-P020_ses-S001_task-Default_run-001_eeg.xdf,Shimmer_894F,Sensor_Data,1,Accel_LN_Y,,9.99938968568813,False,,,
P020,S001,sub-P020_ses-S001_task-Default_run-001_eeg.xdf,Shimmer_894F,Sensor_Data,2,Accel_LN_Z,,9.99938968568813,False,,,
P020,S001,sub-P020_ses-S001_task-Default_run-001_eeg.xdf,Shimmer_894F,Sensor_Data,3,GSR_Skin_Resistance,,9.99938968568813,False,,,
P020,S001,sub-P020_ses-S001_task-Default_run-001_eeg.xdf,Shimmer_894F,Sensor_Data,4,GSR_Skin_Conductance,,9.99938968568813,False,,,
P020,S001,sub-P020_ses-S001_task-Default_run-001_eeg.xdf,Shimmer_894F,Sensor_Data,5,GSR_Range,,9.99938968568813,False,,,
P020,S001,sub-P020_ses-S001_task-Default_run-001_eeg.xdf,Shimmer_894F,Sensor_Data,6,PPG_A13,,9.99938968568813,False,,,
P020,S001,sub-P020_ses-S001_task-Default_run-001_eeg.xdf,DSI_FLEX,EEG,0,F3,microvolts,300.0,True,FP1,True,
P020,S001,sub-P020_ses-S001_task-Default_run-001_eeg.xdf,DSI_FLEX,EEG,1,S2,microvolts,300.0,True,FP2,True,
P020,S001,sub-P020_ses-S001_task-Default_run-001_eeg.xdf,DSI_FLEX,EEG,2,S3,microvolts,300.0,True,C3,True,
P020,S001,sub-P020_ses-S001_task-Default_run-001_eeg.xdf,DSI_FLEX,EEG,3,S4,microvolts,300.0,True,C4,True,
P020,S001,sub-P020_ses-S001_task-Default_run-001_eeg.xdf,DSI_FLEX,EEG,4,S5,microvolts,300.0,True,LE,True,
P020,S001,sub-P020_ses-S001_task-Default_run-001_eeg.xdf,DSI_FLEX,EEG,5,S6,microvolts,300.0,True,EOG1,True,
P020,S001,sub-P020_ses-S001_task-Default_run-001_eeg.xdf,DSI_FLEX,EEG,6,S7,microvolts,300.0,True,EOG2,True,
P020,S001,sub-P020_ses-S001_task-Default_run-001_eeg.xdf,DSI_FLEX,EEG,7,TRG,microvolts,300.0,False,,,
P020,S001,sub-P020_ses-S001_task-Default_run-001_eeg.xdf,Shimmer_BE1D,Sensor_Data,0,Accel_LN_X,,512.0,True,ECG_Lead_I,False,MISMATCH: assigned label does not match true descriptor label at this index
P020,S001,sub-P020_ses-S001_task-Default_run-001_eeg.xdf,Shimmer_BE1D,Sensor_Data,1,Accel_LN_Y,,512.0,True,ECG_Lead_II,False,MISMATCH: assigned label does not match true descriptor label at this index
P020,S001,sub-P020_ses-S001_task-Default_run-001_eeg.xdf,Shimmer_BE1D,Sensor_Data,2,Accel_LN_Z,,512.0,True,ECG_Lead_III,False,MISMATCH: assigned label does not match true descriptor label at this index
P020,S001,sub-P020_ses-S001_task-Default_run-001_eeg.xdf,Shimmer_BE1D,Sensor_Data,3,ECG_EMG_Status1,,512.0,True,ECG_Chest,False,MISMATCH: assigned label does not match true descriptor label at this index
P020,S001,sub-P020_ses-S001_task-Default_run-001_eeg.xdf,Shimmer_BE1D,Sensor_Data,4,ECG_EMG_Status2,,512.0,False,,,
P020,S001,sub-P020_ses-S001_task-Default_run-001_eeg.xdf,Shimmer_BE1D,Sensor_Data,5,ECG_LL-RA_24BIT,,512.0,False,,,
P020,S001,sub-P020_ses-S001_task-Default_run-001_eeg.xdf,Shimmer_BE1D,Sensor_Data,6,ECG_LA-RA_24BIT,,512.0,False,,,
P020,S001,sub-P020_ses-S001_task-Default_run-001_eeg.xdf,Shimmer_BE1D,Sensor_Data,7,ECG_LL-LA_24BIT,,512.0,False,,,
P020,S001,sub-P020_ses-S001_task-Default_run-001_eeg.xdf,Shimmer_BE1D,Sensor_Data,8,ECG_Vx-RL_24BIT,,512.0,False,,,
P020,S001,sub-P020_ses-S001_task-Default_run-001_eeg.xdf,Shimmer_BBBD,Sensor_Data,0,Battery,,512.0,True,EMG_Zygomaticus,False,MISMATCH: assigned label does not match true descriptor label at this index
P020,S001,sub-P020_ses-S001_task-Default_run-001_eeg.xdf,Shimmer_BBBD,Sensor_Data,1,ECG_EMG_Status1,,512.0,True,EMG_Trapezius,False,MISMATCH: assigned label does not match true descriptor label at this index
P020,S001,sub-P020_ses-S001_task-Default_run-001_eeg.xdf,Shimmer_BBBD,Sensor_Data,2,EMG_CH1_24BIT,,512.0,False,,,
P020,S001,sub-P020_ses-S001_task-Default_run-001_eeg.xdf,Shimmer_BBBD,Sensor_Data,3,EMG_CH2_24BIT,,512.0,False,,,
P021,S001,sub-P021_ses-S001_task-Default_run-001_eeg.xdf,Shimmer_894F,Sensor_Data,0,Accel_LN_X,,9.99938968568813,True,GSR_Conductance,False,MISMATCH: assigned label does not match true descriptor label at this index
P021,S001,sub-P021_ses-S001_task-Default_run-001_eeg.xdf,Shimmer_894F,Sensor_Data,1,Accel_LN_Y,,9.99938968568813,False,,,
P021,S001,sub-P021_ses-S001_task-Default_run-001_eeg.xdf,Shimmer_894F,Sensor_Data,2,Accel_LN_Z,,9.99938968568813,False,,,
P021,S001,sub-P021_ses-S001_task-Default_run-001_eeg.xdf,Shimmer_894F,Sensor_Data,3,GSR_Skin_Resistance,,9.99938968568813,False,,,
P021,S001,sub-P021_ses-S001_task-Default_run-001_eeg.xdf,Shimmer_894F,Sensor_Data,4,GSR_Skin_Conductance,,9.99938968568813,False,,,
P021,S001,sub-P021_ses-S001_task-Default_run-001_eeg.xdf,Shimmer_894F,Sensor_Data,5,GSR_Range,,9.99938968568813,False,,,
P021,S001,sub-P021_ses-S001_task-Default_run-001_eeg.xdf,Shimmer_894F,Sensor_Data,6,PPG_A13,,9.99938968568813,False,,,
P021,S001,sub-P021_ses-S001_task-Default_run-001_eeg.xdf,DSI_FLEX,EEG,0,F3,microvolts,300.0,True,FP1,True,
P021,S001,sub-P021_ses-S001_task-Default_run-001_eeg.xdf,DSI_FLEX,EEG,1,S2,microvolts,300.0,True,FP2,True,
P021,S001,sub-P021_ses-S001_task-Default_run-001_eeg.xdf,DSI_FLEX,EEG,2,S3,microvolts,300.0,True,C3,True,
P021,S001,sub-P021_ses-S001_task-Default_run-001_eeg.xdf,DSI_FLEX,EEG,3,S4,microvolts,300.0,True,C4,True,
P021,S001,sub-P021_ses-S001_task-Default_run-001_eeg.xdf,DSI_FLEX,EEG,4,S5,microvolts,300.0,True,LE,True,
P021,S001,sub-P021_ses-S001_task-Default_run-001_eeg.xdf,DSI_FLEX,EEG,5,S6,microvolts,300.0,True,EOG1,True,
P021,S001,sub-P021_ses-S001_task-Default_run-001_eeg.xdf,DSI_FLEX,EEG,6,S7,microvolts,300.0,True,EOG2,True,
P021,S001,sub-P021_ses-S001_task-Default_run-001_eeg.xdf,DSI_FLEX,EEG,7,TRG,microvolts,300.0,False,,,
P021,S001,sub-P021_ses-S001_task-Default_run-001_eeg.xdf,Shimmer_BBBD,Sensor_Data,0,Battery,,512.0,True,EMG_Zygomaticus,False,MISMATCH: assigned label does not match true descriptor label at this index
P021,S001,sub-P021_ses-S001_task-Default_run-001_eeg.xdf,Shimmer_BBBD,Sensor_Data,1,ECG_EMG_Status1,,512.0,True,EMG_Trapezius,False,MISMATCH: assigned label does not match true descriptor label at this index
P021,S001,sub-P021_ses-S001_task-Default_run-001_eeg.xdf,Shimmer_BBBD,Sensor_Data,2,EMG_CH1_24BIT,,512.0,False,,,
P021,S001,sub-P021_ses-S001_task-Default_run-001_eeg.xdf,Shimmer_BBBD,Sensor_Data,3,EMG_CH2_24BIT,,512.0,False,,,
P021,S001,sub-P021_ses-S001_task-Default_run-001_eeg.xdf,Shimmer_BE1D,Sensor_Data,0,Accel_LN_X,,512.0,True,ECG_Lead_I,False,MISMATCH: assigned label does not match true descriptor label at this index
P021,S001,sub-P021_ses-S001_task-Default_run-001_eeg.xdf,Shimmer_BE1D,Sensor_Data,1,Accel_LN_Y,,512.0,True,ECG_Lead_II,False,MISMATCH: assigned label does not match true descriptor label at this index
P021,S001,sub-P021_ses-S001_task-Default_run-001_eeg.xdf,Shimmer_BE1D,Sensor_Data,2,Accel_LN_Z,,512.0,True,ECG_Lead_III,False,MISMATCH: assigned label does not match true descriptor label at this index
P021,S001,sub-P021_ses-S001_task-Default_run-001_eeg.xdf,Shimmer_BE1D,Sensor_Data,3,ECG_EMG_Status1,,512.0,True,ECG_Chest,False,MISMATCH: assigned label does not match true descriptor label at this index
P021,S001,sub-P021_ses-S001_task-Default_run-001_eeg.xdf,Shimmer_BE1D,Sensor_Data,4,ECG_EMG_Status2,,512.0,False,,,
P021,S001,sub-P021_ses-S001_task-Default_run-001_eeg.xdf,Shimmer_BE1D,Sensor_Data,5,ECG_LL-RA_24BIT,,512.0,False,,,
P021,S001,sub-P021_ses-S001_task-Default_run-001_eeg.xdf,Shimmer_BE1D,Sensor_Data,6,ECG_LA-RA_24BIT,,512.0,False,,,
P021,S001,sub-P021_ses-S001_task-Default_run-001_eeg.xdf,Shimmer_BE1D,Sensor_Data,7,ECG_LL-LA_24BIT,,512.0,False,,,
P021,S001,sub-P021_ses-S001_task-Default_run-001_eeg.xdf,Shimmer_BE1D,Sensor_Data,8,ECG_Vx-RL_24BIT,,512.0,False,,,
P022,S001,sub-P022_ses-S001_task-Default_run-001_eeg.xdf,Shimmer_894F,Sensor_Data,0,Accel_LN_X,,9.99938968568813,True,GSR_Conductance,False,MISMATCH: assigned label does not match true descriptor label at this index
P022,S001,sub-P022_ses-S001_task-Default_run-001_eeg.xdf,Shimmer_894F,Sensor_Data,1,Accel_LN_Y,,9.99938968568813,False,,,
P022,S001,sub-P022_ses-S001_task-Default_run-001_eeg.xdf,Shimmer_894F,Sensor_Data,2,Accel_LN_Z,,9.99938968568813,False,,,
P022,S001,sub-P022_ses-S001_task-Default_run-001_eeg.xdf,Shimmer_894F,Sensor_Data,3,GSR_Skin_Resistance,,9.99938968568813,False,,,
P022,S001,sub-P022_ses-S001_task-Default_run-001_eeg.xdf,Shimmer_894F,Sensor_Data,4,GSR_Skin_Conductance,,9.99938968568813,False,,,
P022,S001,sub-P022_ses-S001_task-Default_run-001_eeg.xdf,Shimmer_894F,Sensor_Data,5,GSR_Range,,9.99938968568813,False,,,
P022,S001,sub-P022_ses-S001_task-Default_run-001_eeg.xdf,Shimmer_894F,Sensor_Data,6,PPG_A13,,9.99938968568813,False,,,
P022,S001,sub-P022_ses-S001_task-Default_run-001_eeg.xdf,Shimmer_BBBD,Sensor_Data,0,Battery,,512.0,True,EMG_Zygomaticus,False,MISMATCH: assigned label does not match true descriptor label at this index
P022,S001,sub-P022_ses-S001_task-Default_run-001_eeg.xdf,Shimmer_BBBD,Sensor_Data,1,ECG_EMG_Status1,,512.0,True,EMG_Trapezius,False,MISMATCH: assigned label does not match true descriptor label at this index
P022,S001,sub-P022_ses-S001_task-Default_run-001_eeg.xdf,Shimmer_BBBD,Sensor_Data,2,EMG_CH1_24BIT,,512.0,False,,,
P022,S001,sub-P022_ses-S001_task-Default_run-001_eeg.xdf,Shimmer_BBBD,Sensor_Data,3,EMG_CH2_24BIT,,512.0,False,,,
P022,S001,sub-P022_ses-S001_task-Default_run-001_eeg.xdf,DSI_FLEX,EEG,0,F3,microvolts,300.0,True,FP1,True,
P022,S001,sub-P022_ses-S001_task-Default_run-001_eeg.xdf,DSI_FLEX,EEG,1,S2,microvolts,300.0,True,FP2,True,
P022,S001,sub-P022_ses-S001_task-Default_run-001_eeg.xdf,DSI_FLEX,EEG,2,S3,microvolts,300.0,True,C3,True,
P022,S001,sub-P022_ses-S001_task-Default_run-001_eeg.xdf,DSI_FLEX,EEG,3,S4,microvolts,300.0,True,C4,True,
P022,S001,sub-P022_ses-S001_task-Default_run-001_eeg.xdf,DSI_FLEX,EEG,4,S5,microvolts,300.0,True,LE,True,
P022,S001,sub-P022_ses-S001_task-Default_run-001_eeg.xdf,DSI_FLEX,EEG,5,S6,microvolts,300.0,True,EOG1,True,
P022,S001,sub-P022_ses-S001_task-Default_run-001_eeg.xdf,DSI_FLEX,EEG,6,S7,microvolts,300.0,True,EOG2,True,
P022,S001,sub-P022_ses-S001_task-Default_run-001_eeg.xdf,DSI_FLEX,EEG,7,TRG,microvolts,300.0,False,,,
P022,S001,sub-P022_ses-S001_task-Default_run-001_eeg.xdf,Shimmer_BE1D,Sensor_Data,0,Accel_LN_X,,512.0,True,ECG_Lead_I,False,MISMATCH: assigned label does not match true descriptor label at this index
P022,S001,sub-P022_ses-S001_task-Default_run-001_eeg.xdf,Shimmer_BE1D,Sensor_Data,1,Accel_LN_Y,,512.0,True,ECG_Lead_II,False,MISMATCH: assigned label does not match true descriptor label at this index
P022,S001,sub-P022_ses-S001_task-Default_run-001_eeg.xdf,Shimmer_BE1D,Sensor_Data,2,Accel_LN_Z,,512.0,True,ECG_Lead_III,False,MISMATCH: assigned label does not match true descriptor label at this index
P022,S001,sub-P022_ses-S001_task-Default_run-001_eeg.xdf,Shimmer_BE1D,Sensor_Data,3,ECG_EMG_Status1,,512.0,True,ECG_Chest,False,MISMATCH: assigned label does not match true descriptor label at this index
P022,S001,sub-P022_ses-S001_task-Default_run-001_eeg.xdf,Shimmer_BE1D,Sensor_Data,4,ECG_EMG_Status2,,512.0,False,,,
P022,S001,sub-P022_ses-S001_task-Default_run-001_eeg.xdf,Shimmer_BE1D,Sensor_Data,5,ECG_LL-RA_24BIT,,512.0,False,,,
P022,S001,sub-P022_ses-S001_task-Default_run-001_eeg.xdf,Shimmer_BE1D,Sensor_Data,6,ECG_LA-RA_24BIT,,512.0,False,,,
P022,S001,sub-P022_ses-S001_task-Default_run-001_eeg.xdf,Shimmer_BE1D,Sensor_Data,7,ECG_LL-LA_24BIT,,512.0,False,,,
P022,S001,sub-P022_ses-S001_task-Default_run-001_eeg.xdf,Shimmer_BE1D,Sensor_Data,8,ECG_Vx-RL_24BIT,,512.0,False,,,
P023,S001,sub-P023_ses-S001_task-Default_run-001_eeg.xdf,Shimmer_894F,Sensor_Data,0,Accel_LN_X,,9.99938968568813,True,GSR_Conductance,False,MISMATCH: assigned label does not match true descriptor label at this index
P023,S001,sub-P023_ses-S001_task-Default_run-001_eeg.xdf,Shimmer_894F,Sensor_Data,1,Accel_LN_Y,,9.99938968568813,False,,,
P023,S001,sub-P023_ses-S001_task-Default_run-001_eeg.xdf,Shimmer_894F,Sensor_Data,2,Accel_LN_Z,,9.99938968568813,False,,,
P023,S001,sub-P023_ses-S001_task-Default_run-001_eeg.xdf,Shimmer_894F,Sensor_Data,3,GSR_Skin_Resistance,,9.99938968568813,False,,,
P023,S001,sub-P023_ses-S001_task-Default_run-001_eeg.xdf,Shimmer_894F,Sensor_Data,4,GSR_Skin_Conductance,,9.99938968568813,False,,,
P023,S001,sub-P023_ses-S001_task-Default_run-001_eeg.xdf,Shimmer_894F,Sensor_Data,5,GSR_Range,,9.99938968568813,False,,,
P023,S001,sub-P023_ses-S001_task-Default_run-001_eeg.xdf,Shimmer_894F,Sensor_Data,6,PPG_A13,,9.99938968568813,False,,,
P023,S001,sub-P023_ses-S001_task-Default_run-001_eeg.xdf,DSI_FLEX,EEG,0,F3,microvolts,300.0,True,FP1,True,
P023,S001,sub-P023_ses-S001_task-Default_run-001_eeg.xdf,DSI_FLEX,EEG,1,S2,microvolts,300.0,True,FP2,True,
P023,S001,sub-P023_ses-S001_task-Default_run-001_eeg.xdf,DSI_FLEX,EEG,2,S3,microvolts,300.0,True,C3,True,
P023,S001,sub-P023_ses-S001_task-Default_run-001_eeg.xdf,DSI_FLEX,EEG,3,S4,microvolts,300.0,True,C4,True,
P023,S001,sub-P023_ses-S001_task-Default_run-001_eeg.xdf,DSI_FLEX,EEG,4,S5,microvolts,300.0,True,LE,True,
P023,S001,sub-P023_ses-S001_task-Default_run-001_eeg.xdf,DSI_FLEX,EEG,5,S6,microvolts,300.0,True,EOG1,True,
P023,S001,sub-P023_ses-S001_task-Default_run-001_eeg.xdf,DSI_FLEX,EEG,6,S7,microvolts,300.0,True,EOG2,True,
P023,S001,sub-P023_ses-S001_task-Default_run-001_eeg.xdf,DSI_FLEX,EEG,7,TRG,microvolts,300.0,False,,,
P023,S001,sub-P023_ses-S001_task-Default_run-001_eeg.xdf,Shimmer_BBBD,Sensor_Data,0,Battery,,512.0,True,EMG_Zygomaticus,False,MISMATCH: assigned label does not match true descriptor label at this index
P023,S001,sub-P023_ses-S001_task-Default_run-001_eeg.xdf,Shimmer_BBBD,Sensor_Data,1,ECG_EMG_Status1,,512.0,True,EMG_Trapezius,False,MISMATCH: assigned label does not match true descriptor label at this index
P023,S001,sub-P023_ses-S001_task-Default_run-001_eeg.xdf,Shimmer_BBBD,Sensor_Data,2,EMG_CH1_24BIT,,512.0,False,,,
P023,S001,sub-P023_ses-S001_task-Default_run-001_eeg.xdf,Shimmer_BBBD,Sensor_Data,3,EMG_CH2_24BIT,,512.0,False,,,
P023,S001,sub-P023_ses-S001_task-Default_run-001_eeg.xdf,Shimmer_BE1D,Sensor_Data,0,Accel_LN_X,,512.0,True,ECG_Lead_I,False,MISMATCH: assigned label does not match true descriptor label at this index
P023,S001,sub-P023_ses-S001_task-Default_run-001_eeg.xdf,Shimmer_BE1D,Sensor_Data,1,Accel_LN_Y,,512.0,True,ECG_Lead_II,False,MISMATCH: assigned label does not match true descriptor label at this index
P023,S001,sub-P023_ses-S001_task-Default_run-001_eeg.xdf,Shimmer_BE1D,Sensor_Data,2,Accel_LN_Z,,512.0,True,ECG_Lead_III,False,MISMATCH: assigned label does not match true descriptor label at this index
P023,S001,sub-P023_ses-S001_task-Default_run-001_eeg.xdf,Shimmer_BE1D,Sensor_Data,3,ECG_EMG_Status1,,512.0,True,ECG_Chest,False,MISMATCH: assigned label does not match true descriptor label at this index
P023,S001,sub-P023_ses-S001_task-Default_run-001_eeg.xdf,Shimmer_BE1D,Sensor_Data,4,ECG_EMG_Status2,,512.0,False,,,
P023,S001,sub-P023_ses-S001_task-Default_run-001_eeg.xdf,Shimmer_BE1D,Sensor_Data,5,ECG_LL-RA_24BIT,,512.0,False,,,
P023,S001,sub-P023_ses-S001_task-Default_run-001_eeg.xdf,Shimmer_BE1D,Sensor_Data,6,ECG_LA-RA_24BIT,,512.0,False,,,
P023,S001,sub-P023_ses-S001_task-Default_run-001_eeg.xdf,Shimmer_BE1D,Sensor_Data,7,ECG_LL-LA_24BIT,,512.0,False,,,
P023,S001,sub-P023_ses-S001_task-Default_run-001_eeg.xdf,Shimmer_BE1D,Sensor_Data,8,ECG_Vx-RL_24BIT,,512.0,False,,,
P024,S001,sub-P024_ses-S001_task-Default_run-001_eeg.xdf,Shimmer_894F,Sensor_Data,0,Accel_LN_X,,9.99938968568813,True,GSR_Conductance,False,MISMATCH: assigned label does not match true descriptor label at this index
P024,S001,sub-P024_ses-S001_task-Default_run-001_eeg.xdf,Shimmer_894F,Sensor_Data,1,Accel_LN_Y,,9.99938968568813,False,,,
P024,S001,sub-P024_ses-S001_task-Default_run-001_eeg.xdf,Shimmer_894F,Sensor_Data,2,Accel_LN_Z,,9.99938968568813,False,,,
P024,S001,sub-P024_ses-S001_task-Default_run-001_eeg.xdf,Shimmer_894F,Sensor_Data,3,GSR_Skin_Resistance,,9.99938968568813,False,,,
P024,S001,sub-P024_ses-S001_task-Default_run-001_eeg.xdf,Shimmer_894F,Sensor_Data,4,GSR_Skin_Conductance,,9.99938968568813,False,,,
P024,S001,sub-P024_ses-S001_task-Default_run-001_eeg.xdf,Shimmer_894F,Sensor_Data,5,GSR_Range,,9.99938968568813,False,,,
P024,S001,sub-P024_ses-S001_task-Default_run-001_eeg.xdf,Shimmer_894F,Sensor_Data,6,PPG_A13,,9.99938968568813,False,,,
P024,S001,sub-P024_ses-S001_task-Default_run-001_eeg.xdf,DSI_FLEX,EEG,0,F3,microvolts,300.0,True,FP1,True,
P024,S001,sub-P024_ses-S001_task-Default_run-001_eeg.xdf,DSI_FLEX,EEG,1,S2,microvolts,300.0,True,FP2,True,
P024,S001,sub-P024_ses-S001_task-Default_run-001_eeg.xdf,DSI_FLEX,EEG,2,S3,microvolts,300.0,True,C3,True,
P024,S001,sub-P024_ses-S001_task-Default_run-001_eeg.xdf,DSI_FLEX,EEG,3,S4,microvolts,300.0,True,C4,True,
P024,S001,sub-P024_ses-S001_task-Default_run-001_eeg.xdf,DSI_FLEX,EEG,4,S5,microvolts,300.0,True,LE,True,
P024,S001,sub-P024_ses-S001_task-Default_run-001_eeg.xdf,DSI_FLEX,EEG,5,S6,microvolts,300.0,True,EOG1,True,
P024,S001,sub-P024_ses-S001_task-Default_run-001_eeg.xdf,DSI_FLEX,EEG,6,S7,microvolts,300.0,True,EOG2,True,
P024,S001,sub-P024_ses-S001_task-Default_run-001_eeg.xdf,DSI_FLEX,EEG,7,TRG,microvolts,300.0,False,,,
